,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
10,6636,Polkadot,DOT,polkadot-new,402,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain']",,1125884507.0162828,1225714258.1704626,,11,904869778.0,6989506558.336666,,2022-08-24T19:48:00.000Z,7.724323132755425,312015815.2507314,-12.6741,0.50891922,1.36089138,-8.21808709,12.00211914,-3.3587208,-16.07254928,8696695742.356812,0.8314,9467812998.53,,2022-08-24T19:48:00.000Z,,,,,,2022-08-24 19:50:47.482149
11,5994,Shiba Inu,SHIB,shiba-inu,405,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,549063278876301.94,589735030408322.8,,12,,,,2022-08-24T19:48:00.000Z,1.3339466525311167e-05,393020050.54519683,-4.7623,0.39437804,1.30773924,-13.40920871,21.77311046,16.11823948,23.42265127,7324211228.84802,0.7,7866750696.94,,2022-08-24T19:48:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2022-08-24 19:50:47.482149
12,4943,Dai,DAI,multi-collateral-dai,1267,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,6962837631.8760805,6962837631.8760805,,13,,,,2022-08-24T19:48:00.000Z,1.0003104771659201,419373781.95059985,-10.0451,0.06082755,0.05345719,0.09009015,0.08136426,-4.85e-06,-0.04140315,6964999433.970787,0.6657,6964999433.97,,2022-08-24T19:48:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2022-08-24 19:50:47.482149
13,3890,Polygon,MATIC,polygon,468,2019-04-28T00:00:00.000Z,"['platform', 'enterprise-solutions', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain']",10000000000.0,8042124673.28493,10000000000.0,,14,,,,2022-08-24T19:48:00.000Z,0.8388645653268725,331165866.9026047,-14.4479,0.8968582,1.39872204,-6.81249218,4.69498129,40.56006064,38.47212601,6746253418.359679,0.6449,8388645653.27,,2022-08-24T19:48:00.000Z,,,,,,2022-08-24 19:50:47.482149
14,5805,Avalanche,AVAX,avalanche,306,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain']",720000000.0,285031245.3713636,404229626.49901325,,15,,,,2022-08-24T19:48:00.000Z,23.52413482706374,356660683.254654,-21.8767,0.91721192,0.94582504,-10.22942257,10.04997718,15.47753933,-3.54214942,6705113446.041844,0.6409,16937377075.49,,2022-08-24T19:48:00.000Z,,,,,,2022-08-24 19:50:47.482149
0,1,Bitcoin,BTC,bitcoin,9703,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']",21000000.0,19130900.0,19130900.0,,1,,,,2022-08-24T19:50:00.000Z,21762.89834490602,32004519549.425182,-1.086,0.3895663,1.13413186,-6.66719614,0.22715466,2.6893444,-26.19719019,416343831946.5626,39.7968,457020865243.03,,2022-08-24T19:50:00.000Z,,,,,,2022-08-24 19:51:48.282953
1,1027,Ethereum,ETH,ethereum,6042,2015-08-07T00:00:00.000Z,"['mineable', 'pow', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'bnb-chain']",,122095544.499,122095544.499,,2,,,,2022-08-24T19:50:00.000Z,1683.8076722357405,16964227238.015451,-9.4101,0.83816482,2.01113306,-8.49397959,14.20662012,39.70660716,-8.33619348,205585414573.21646,19.6512,205585414573.22,,2022-08-24T19:50:00.000Z,,,,,,2022-08-24 19:51:48.282953
2,825,Tether,USDT,tether,38806,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin']",,67549555015.62651,69157777033.00569,,3,,,,2022-08-24T19:50:00.000Z,1.000002394351734,48742131683.044464,-7.9956,0.00085675,0.00207932,-0.00620846,-0.00212896,0.04672552,0.09267599,67549716753.02069,6.4599,69157942621.05,,2022-08-24T19:50:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2022-08-24 19:51:48.282953
3,3408,USD Coin,USDC,usd-coin,5945,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,52274835083.95328,52274835083.95328,,4,,,,2022-08-24T19:50:00.000Z,1.0000038422190922,7353940412.69846,35.0259,0.01145617,0.00452396,0.01866791,-0.00158512,0.00492453,-0.02649815,52275035935.32268,4.9968,52275035935.32,,2022-08-24T19:50:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2022-08-24 19:51:48.282953
4,1839,BNB,BNB,bnb,1088,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'moonriver-ecosystem', 'bnb-chain']",200000000.0,161337261.09,161337261.09,,5,,,,2022-08-24T19:50:00.000Z,299.2526579511638,942978650.5057354,-14.9401,0.24860835,0.21954401,-2.81245524,19.09824655,27.05400171,-3.4945644,48280604207.743385,4.6146,59850531590.23,,2022-08-24T19:50:00.000Z,,,,,,2022-08-24 19:51:48.282953
5,4687,Binance USD,BUSD,binance-usd,4879,2019-09-20T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,19080569131.069256,19080569131.069256,,6,,,,2022-08-24T19:50:00.000Z,0.9998606051804657,4792147740.265463,-1.3069,-0.01523976,-0.00602981,0.01088908,-0.13327905,0.03932975,-0.09757253,19077909398.578617,1.8238,19077909398.58,,2022-08-24T19:50:00.000Z,1839.0,BNB,BNB,bnb,BUSD-BD1,2022-08-24 19:51:48.282953
6,52,XRP,XRP,xrp,807,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'binance-chain', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,49537223666.0,99989330486.0,,7,,,,2022-08-24T19:50:00.000Z,0.35034468981899974,933661577.2290773,-1.374,0.96585055,1.40756069,-7.13569455,2.82557946,-2.59534431,-10.89844232,17355103259.759182,1.6589,35034468981.9,,2022-08-24T19:50:00.000Z,,,,,,2022-08-24 19:51:48.282953
7,2010,Cardano,ADA,cardano,559,2017-10-01T00:00:00.000Z,"['mineable', 'dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'bnb-chain']",45000000000.0,33739028515.755,34277702081.605,,8,,,,2022-08-24T19:50:00.000Z,0.4660213556984512,504933727.29915845,-12.85,0.45442901,1.06182036,-13.38262644,-3.64798053,-4.57369332,-3.74956886,15723107808.86085,1.5028,20970961006.43,,2022-08-24T19:50:00.000Z,,,,,,2022-08-24 19:51:48.282953
8,5426,Solana,SOL,solana,368,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio']",,349250834.66365105,511616946.142289,,9,,,,2022-08-24T19:50:00.000Z,36.11319303764489,909913617.9300961,-0.1225,0.69545446,2.11289327,-11.49098634,-3.69491682,-10.37269865,-18.7133873,12612562810.76703,1.2056,18476121537.37,,2022-08-24T19:50:00.000Z,,,,,,2022-08-24 19:51:48.282953
9,74,Dogecoin,DOGE,dogecoin,554,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,132670764299.89409,132670764299.89409,,10,,,,2022-08-24T19:50:00.000Z,0.06934447478919319,334232250.3038319,-5.423,0.20525951,1.39537411,-15.57978227,8.94612519,2.86968357,-12.05429636,9199984470.256996,0.8793,9199984470.26,,2022-08-24T19:50:00.000Z,,,,,,2022-08-24 19:51:48.282953
10,6636,Polkadot,DOT,polkadot-new,402,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain']",,1125884507.0162828,1225714258.1704626,,11,904869778.0,6989310451.235326,,2022-08-24T19:50:00.000Z,7.724106408640964,311989788.3240386,-12.6986,0.55618999,1.39330593,-8.11119851,11.8795432,-3.36836989,-16.15354212,8696451736.034042,0.8314,9467547356.7,,2022-08-24T19:50:00.000Z,,,,,,2022-08-24 19:51:48.282953
11,5994,Shiba Inu,SHIB,shiba-inu,405,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,549063278876301.94,589735030408322.8,,12,,,,2022-08-24T19:50:00.000Z,1.3337883550764976e-05,393117864.4153532,-4.6874,0.44527939,1.32917591,-13.29150522,21.6392446,16.02666994,23.27806031,7323342075.653311,0.7,7865817161.39,,2022-08-24T19:50:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2022-08-24 19:51:48.282953
12,4943,Dai,DAI,multi-collateral-dai,1267,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,6962837631.8760805,6962837631.8760805,,13,,,,2022-08-24T19:50:00.000Z,1.0001081840954738,406873972.0727741,-12.261,0.04999478,0.04279543,0.10886068,0.08675137,-0.01572339,-0.06777129,6963590900.167215,0.6659,6963590900.17,,2022-08-24T19:50:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2022-08-24 19:51:48.282953
13,3890,Polygon,MATIC,polygon,469,2019-04-28T00:00:00.000Z,"['platform', 'enterprise-solutions', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain']",10000000000.0,8042124673.28493,10000000000.0,,14,,,,2022-08-24T19:50:00.000Z,0.8383470831661526,331114622.79892504,-14.5097,0.91734408,1.36917498,-6.76438418,4.42574094,40.44648889,38.24989722,6742091762.306969,0.6445,8383470831.66,,2022-08-24T19:50:00.000Z,,,,,,2022-08-24 19:51:48.282953
14,5805,Avalanche,AVAX,avalanche,306,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain']",720000000.0,285031245.3713636,404229626.49901325,,15,,,,2022-08-24T19:50:00.000Z,23.56501523148176,358673130.0256014,-21.4369,1.15091587,1.10283212,-9.97216349,10.07995036,15.66698032,-3.43911498,6716765638.624397,0.642,16966810966.67,,2022-08-24T19:50:00.000Z,,,,,,2022-08-24 19:51:48.282953
0,1,Bitcoin,BTC,bitcoin,9703,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']",21000000.0,19130900.0,19130900.0,,1,,,,2022-08-24T19:51:00.000Z,21761.42373529052,32004711623.12583,-1.0737,0.39524699,1.13951304,-6.68773309,0.20917327,2.66445829,-26.2065917,416315621337.46936,39.7941,456989898441.1,,2022-08-24T19:51:00.000Z,,,,,,2022-08-24 19:52:49.512207
1,1027,Ethereum,ETH,ethereum,6042,2015-08-07T00:00:00.000Z,"['mineable', 'pow', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'bnb-chain']",,122095544.499,122095544.499,,2,,,,2022-08-24T19:51:00.000Z,1683.5063272811542,16964350709.694607,-9.3958,0.85223929,2.01269337,-8.52622719,14.16165258,39.66708325,-8.35454046,205548621696.9042,19.6477,205548621696.9,,2022-08-24T19:51:00.000Z,,,,,,2022-08-24 19:52:49.512207
2,825,Tether,USDT,tether,38806,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin']",,67549555015.62651,69157777033.00569,,3,,,,2022-08-24T19:51:00.000Z,1.0000084508514921,48741602993.584595,-7.9966,0.00105678,0.00291008,-0.00463429,-0.00199887,0.04869931,0.09480859,67550125866.88431,6.4599,69158361475.11,,2022-08-24T19:51:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2022-08-24 19:52:49.512207
3,3408,USD Coin,USDC,usd-coin,5945,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,52274835083.95328,52274835083.95328,,4,,,,2022-08-24T19:51:00.000Z,0.9999517455320426,7353919430.202181,35.0255,0.00628878,0.00352614,0.01079495,-0.00867919,-0.00047775,-0.02836178,52272312589.59874,4.9965,52272312589.6,,2022-08-24T19:51:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2022-08-24 19:52:49.512207
4,1839,BNB,BNB,bnb,1088,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'moonriver-ecosystem', 'bnb-chain']",200000000.0,161337261.09,161337261.09,,5,,,,2022-08-24T19:51:00.000Z,299.2707141775929,942981864.2367213,-14.932,0.26952528,0.24819931,-2.82627998,19.10722022,27.04895327,-3.51514861,48283517349.86107,4.618,59854142835.52,,2022-08-24T19:51:00.000Z,,,,,,2022-08-24 19:52:49.512207
5,4687,Binance USD,BUSD,binance-usd,4879,2019-09-20T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,19080569131.069256,19080569131.069256,,6,,,,2022-08-24T19:51:00.000Z,0.9997552031645309,4791396879.619907,-1.2783,-0.02886987,-0.01990628,0.00282177,-0.14278215,0.02681933,-0.10422373,19075898268.12702,1.8237,19075898268.13,,2022-08-24T19:51:00.000Z,1839.0,BNB,BNB,bnb,BUSD-BD1,2022-08-24 19:52:49.512207
6,52,XRP,XRP,xrp,807,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'binance-chain', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,49537223666.0,99989330486.0,,7,,,,2022-08-24T19:51:00.000Z,0.35030931357862755,933835124.8159474,-1.3296,0.96728131,1.40223385,-7.1593554,2.81214117,-2.61490189,-10.90414784,17353350819.027405,1.6587,35030931357.86,,2022-08-24T19:51:00.000Z,,,,,,2022-08-24 19:52:49.512207
